"created_at",content,interactions,source
"Apr 3, 2024 @ 21:51:53.000","#EnVivo| El Presidente @AAtaydeR habló de la propuesta en materia de seguridad @STaboadaM, que es “exportar para toda la Ciudad de México el programa exitoso que implementó en Benito Juárez, #BlindarBJ”. Vía: @Capital_21. #ElCambioViene #SíHayDeOtra https://t.co/DqNvRjKv65",7,"https://twitter.com/PAN_CDMX/status/1775733000950394922"
"Apr 3, 2024 @ 20:33:15.000","@dr_espiral @eferial19 @SacmexCDMX @STaboadaMx @martibatres @BJAlcaldia @En_laDelValle En eje 6 y Av Coyoacán",7,"https://twitter.com/soyloshe_/status/1775713212924616925"
"Apr 3, 2024 @ 18:56:29.000","¡Anuncio importante! Santiago Taboada Cortina, candidato de la alianza PAN, PRI y PRD a la Jefatura de Gobierno de la Ciudad de México: https://t.co/xEN2199vOL  
#FeminicidiosEnCDMX #SeguridadParaMujeres #Elecciones2024 @STaboadaMx https://t.co/wlXZv7lGfp",7,"https://twitter.com/UniversoCdmx/status/1775688861085237443"
"Apr 3, 2024 @ 13:52:00.000","@SacmexCDMX @CarmenHelguera @BJAlcaldia @lopezdoriga @CiroGomezL @CarlosLoret @AristeguiOnline ¿Nos pueden dar una respuesta? Se ha levantado el folio 20240402_0426 y varios hemos marcado ya al 800 050 0225 y no nos indican cuándo vendrán a tomar pruebas. 

@GobCDMX @BJAlcaldia @conagua_mx @SEMARNAT_mx @ClaraBrugadaM @STaboadaMx",7,"https://twitter.com/marcavalli/status/1775612232040116507"
"Apr 3, 2024 @ 06:52:54.000","La opinión de @martinespinosa ✍️ @Excelsior 

° @STaboadaMx , visitó terrenos en los que se creía que solamente «mandaba» #Morena, como lo fue #Iztapalapa

@Nakachi_Mx @jvgilescas @jachavez77 @Venus_PonC @El_Campos 

https://t.co/a3fQ1XCwFq a través de @EvidenciaLa https://t.co/hP3S5WdtzV",7,"https://twitter.com/EvidenciaLa/status/1775506765590806586"
"Apr 3, 2024 @ 22:49:11.000","La esperanza es canija. Hoy estuve en una reunión vecinal con Mauricio Tabe, el alcalde de Miguel Hidalgo, que busca reelección. Hablamos de retos, seguridad, inversión, y de muchas cosas de la alcaldía.

También hablamos de encuestas, de posibilidades, de Santiago Taboada, y",6,"https://twitter.com/eperea/status/1775747420703408256"
"Apr 3, 2024 @ 20:10:20.000","@STaboadaMx Uy como el pan si cumplió 😂😂😂😂 https://t.co/OQTOr9WFqo",6,"https://twitter.com/mayrsae/status/1775707446691991869"
"Apr 3, 2024 @ 19:17:57.000","Un antes y el después.
¡GRACIAS por la pronta atención!
Calles limpias, vecinos felices.
@BJAlcaldia @PabloAnguloB @STaboadaMx @LuisMendozaBJ @FedeChavezMX @MdoPortalesBJ @BetanzosOficial @TaniaLariosMX @ErnestoAJ29 @Luis_GQM @manuelanorve @vecinosnapoles https://t.co/LkiQtRfZwW",6,"https://twitter.com/MonsePCedeno/status/1775694261058482656"
"Apr 3, 2024 @ 16:31:26.000","SANTIAGO TABOADA CONFÍA TRIUNFO EN LA CDMX 

@STaboadaMx 
@gobcdmx

https://t.co/GpKxiRfcdR",6,"https://twitter.com/Latitud_mx/status/1775652356962848851"
"Apr 3, 2024 @ 14:02:54.000","@BicireporteraDF Pues no te has informado bien, Clara dejó Iztapalapa un desastre (vivo en ella) en 10 años todo sigue pal perro, insegura, sucia, lleno de drogadictos y ambulantes por doquier, Taboada aunque no es perfecto tiene a la alcaldía más segura, es obvio que Taboada es la opción",6,"https://twitter.com/jcgarzep/status/1775614977409261827"
"Apr 3, 2024 @ 11:57:55.000","#QPMX #QuehacerPolitico #InquiriendoLaNoticia 

Así la encuesta para Jefe de Gobierno de la CDMX si hoy fueran las elecciones ganaría @STaboadaMx candidato por la alianza PAN, PRI y PRD. https://t.co/2t6I7QZGcL",6,"https://twitter.com/QueHacerPolitic/status/1775583522146640268"
